end_station_name,end_lat,end_lng,count
Racine Ave & Wrightwood Ave,41.9289,-87.659,5386
Rainbow Beach,41.7579,-87.5494,152
Ravenswood Ave & Berteau Ave,41.9579,-87.6736,2863
Ravenswood Ave & Irving Park Rd,41.9547,-87.6739,4776
Ravenswood Ave & Lawrence Ave,41.9691,-87.6742,14940
Rhodes Ave & 32nd St,41.8362,-87.6135,1915
Richmond St & Diversey Ave,41.9319,-87.7012,2392
Ridge Blvd & Howard St,42.0193,-87.6845,456
Ridge Blvd & Touhy Ave,42.0121,-87.6829,797
Ritchie Ct & Banks St,41.9069,-87.6262,8266
Rockwell St & Eastwood Ave,41.9659,-87.6936,2118
Rush St & Cedar St,41.9023,-87.6277,13184
Rush St & Hubbard St,41.8902,-87.6262,13013
Rush St & Superior St,41.8958,-87.6259,14092
Sacramento Blvd & Franklin Blvd,41.8905,-87.7026,571
Sangamon St & Washington Blvd,41.8832,-87.6511,5750
Sawyer Ave & Irving Park Rd,41.9536,-87.7093,1041
Sedgwick St & Huron St,41.8947,-87.6384,13864
Sedgwick St & North Ave,41.9114,-87.6387,13693
Sedgwick St & Schiller St,41.9076,-87.6386,3905
Sedgwick St & Webster Ave,41.9222,-87.6389,12004
Seeley Ave & Garfield Blvd,41.7941,-87.6755,28
Seeley Ave & Roscoe St,41.9434,-87.6796,3760
Shedd Aquarium,41.8672,-87.6154,22382
Sheffield Ave & Fullerton Ave,41.9256,-87.6537,17632
Sheffield Ave & Kingsbury St,41.9105,-87.6531,12755
Sheffield Ave & Waveland Ave,41.9494,-87.6545,15283
Sheffield Ave & Webster Ave,41.9215,-87.6538,12228
Sheffield Ave & Wellington Ave,41.9363,-87.6527,13588
Sheffield Ave & Willow St,41.9137,-87.6529,9617
Sheffield Ave & Wrightwood Ave,41.9287,-87.6538,8915
Sheridan Rd & Buena Ave,41.9585,-87.655,4569
Sheridan Rd & Columbia Ave,42.0046,-87.6614,1939
Sheridan Rd & Greenleaf Ave,42.0106,-87.6624,1569
Sheridan Rd & Irving Park Rd,41.9542,-87.6544,12515
Sheridan Rd & Lawrence Ave,41.9695,-87.6547,3735
Sheridan Rd & Loyola Ave,42.001,-87.6612,4027
Sheridan Rd & Montrose Ave,41.9617,-87.6546,8328
Sheridan Rd & Noyes St (NU),42.0582,-87.6774,3159
Shields Ave & 28th Pl,41.8427,-87.6355,1003
Shields Ave & 31st St,41.8385,-87.6354,1953
Shields Ave & 43rd St,41.8162,-87.6348,36
Shore Dr & 55th St,41.7952,-87.5807,7551
Smith Park (*),41.892,-87.6894,1217
South Chicago Ave & 83rd St,41.7439,-87.5752,30
South Shore Dr & 67th St,41.7736,-87.5675,708
South Shore Dr & 71st St,41.7664,-87.5657,942
South Shore Dr & 74th St,41.7622,-87.5593,307
Southport Ave & Belmont Ave,41.9395,-87.6638,6026
Southport Ave & Clark St,41.9571,-87.6642,2649
Southport Ave & Clybourn Ave,41.9208,-87.6637,8941
Southport Ave & Irving Park Rd,41.9542,-87.6644,5500
Southport Ave & Roscoe St,41.9437,-87.664,14143
Southport Ave & Waveland Ave,41.9482,-87.6639,11762
Southport Ave & Wellington Ave,41.9357,-87.6636,9893
Southport Ave & Wrightwood Ave,41.9288,-87.6639,6907
